locus_tag,log2FoldChange,start,end,gene_length,padj,COG_category,Preferred_name,PFAMs
OOFNCCCI_01570,1.748984719,2104837,2105463,626,0.000344399,NA,NA,NA
OOFNCCCI_01571,0.624186928,2105472,2107091,1619,0.006458394,O,NA,Trypsin
OOFNCCCI_01572,-0.774465802,2107115,2107234,119,0.445008635,NA,NA,NA
OOFNCCCI_01573,0.79343664,2107675,2108574,899,0.002908737,G,NA,"CHB_HEX_C_1,F5_F8_type_C,Fn3_assoc,Glyco_hydro_20,Glyco_hydro_20b"
OOFNCCCI_01574,0.485998145,2108753,2112688,3935,0.048712967,T,NA,"HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y"
OOFNCCCI_01575,-0.446029735,2112773,2113351,578,0.580885625,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_01576,0.161416174,2113348,2114196,848,0.673498422,M,NA,"CarbopepD_reg_2,TonB_C"
OOFNCCCI_01577,1.008694499,2114473,2115015,542,0.000920221,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_01578,0.296620858,2115086,2116051,965,0.396649459,PT,NA,"DUF4974,FecR"
OOFNCCCI_01579,0.041415564,2116432,2119749,3317,0.897115413,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_01580,0.626505125,2119762,2121369,1607,0.001981565,P,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_01581,0.242344653,2121477,2124134,2657,0.209684554,G,NA,"DUF4982,F5_F8_type_C,Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N"
OOFNCCCI_01582,-0.342336114,2124254,2126869,2615,0.16699351,J,valS,"Anticodon_1,Val_tRNA-synt_C,tRNA-synt_1"
OOFNCCCI_01583,0.250592059,2127019,2128986,1967,0.220035537,T,NA,"HATPase_c,HisKA,PAS_4,PAS_9,Response_reg"
OOFNCCCI_01584,0.575832032,2129010,2129861,851,0.336955599,G,NA,"AP_endonuc_2,AP_endonuc_2_N"
OOFNCCCI_01585,0.020819534,2129906,2130937,1031,0.966897108,S,NA,NA
OOFNCCCI_01586,0.432420573,2131005,2131466,461,0.577402104,S,NA,NA
OOFNCCCI_01589,0.191422265,2131871,2132809,938,0.583729178,P,NA,Mn_catalase
OOFNCCCI_01590,0.00232744,2133004,2133300,296,0.998138472,NA,NA,YtxH
OOFNCCCI_01591,0.355530339,2133337,2133594,257,0.16862169,S,NA,Transgly_assoc
OOFNCCCI_01592,-0.064903206,2134157,2135377,1220,0.832579292,NA,NA,NA
OOFNCCCI_01593,-0.340395963,2135711,2136214,503,0.302159562,M,NA,OMP_b-brl
OOFNCCCI_01594,0.136244313,2136250,2137422,1172,0.645255719,M,NA,"OMP_b-brl,OmpA"
OOFNCCCI_01595,0.243764559,2137511,2138548,1037,0.223688308,D,NA,NA
OOFNCCCI_01596,0.70092419,2138670,2139752,1082,0.001384159,M,NA,CBAH
OOFNCCCI_01597,1.42554223,2139834,2140025,191,0.677863273,NA,NA,NA
OOFNCCCI_01598,0.151497168,2140130,2141341,1211,0.599989291,E,NA,DAO
OOFNCCCI_01599,1.272381164,2141361,2141726,365,0.295441169,NA,NA,NA
OOFNCCCI_01600,7.437122907,2141753,2141860,107,0.143981876,NA,NA,NA
OOFNCCCI_01601,0.03853236,2142011,2144917,2906,0.903904545,V,NA,"ABC2_membrane,ABC_tran,TerB"
OOFNCCCI_01602,0.129834688,2144952,2145779,827,0.826674765,NA,NA,NA
OOFNCCCI_01603,-0.142345678,2145857,2147020,1163,0.790802819,T,NA,"Response_reg,SpoIIE"
OOFNCCCI_01604,-0.822733099,2147035,2147871,836,0.088112351,T,NA,"HATPase_c,HisKA"
OOFNCCCI_01605,-0.065606663,2147864,2148985,1121,0.884026483,T,NA,"HATPase_c,Y_Y_Y"
OOFNCCCI_01606,-1.162004841,2148987,2149394,407,0.679612495,T,NA,HATPase_c_2
OOFNCCCI_01607,-1.947654751,2149416,2149715,299,0.242324792,T,btrV,"STAS,STAS_2"
OOFNCCCI_01608,-0.38143213,2149799,2152483,2684,0.080299274,P,NA,"Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase,Hydrolase_3"
OOFNCCCI_01609,0.008183472,2152698,2153195,497,0.990025396,S,NA,DUF4251
OOFNCCCI_01610,-0.844638327,2153179,2154111,932,0.010664593,S,NA,"Radical_SAM,Radical_SAM_C"
OOFNCCCI_01611,-0.140457684,2154279,2156453,2174,0.605945271,EU,dpp,"DPPIV_N,Peptidase_S9"
OOFNCCCI_01612,-1.646523626,2156453,2157298,845,2.35E-07,H,lipA,"BPL_LplA_LipB,Lip_prot_lig_C,Radical_SAM"
OOFNCCCI_01613,0.354180378,2157363,2158481,1118,0.235793181,I,NA,NA
OOFNCCCI_01614,0.372747443,2158491,2158985,494,0.095681902,S,NA,Metallophos_2
OOFNCCCI_01615,0.297916857,2159828,2162866,3038,0.304773978,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_01616,-0.20399763,2162879,2164390,1511,0.580103937,S,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_01617,-0.143769277,2164423,2165412,989,0.742225577,S,NA,NA
OOFNCCCI_01618,-0.553224027,2165559,2167628,2069,0.019776737,H,ppk,"PP_kinase,PP_kinase_C,PP_kinase_N"
OOFNCCCI_01619,-0.097452548,2167639,2168316,677,0.777955355,S,NA,NA
OOFNCCCI_01620,-0.130678962,2168678,2169673,995,0.750930608,L,NA,DUF4837
OOFNCCCI_01621,-0.617356153,2169829,2171217,1388,0.011064474,J,rsmF,"Methyltr_RsmB-F,Methyltr_RsmF_N,Methyltranf_PUA"
OOFNCCCI_01622,-0.012254832,2171270,2171974,704,0.989919095,H,rsmI_1,TP_methylase
OOFNCCCI_01623,-1.10044021,2171981,2172556,575,0.227679772,S,NA,"Hexapep,Hexapep_2"
OOFNCCCI_01624,-0.242929103,2172602,2173441,839,0.528342589,H,nadC,"QRPTase_C,QRPTase_N"
OOFNCCCI_01625,1.731028257,2173445,2173816,371,0.379356975,S,NA,DUF4783
OOFNCCCI_01626,1.727835543,2173905,2174378,473,0.004381525,J,rlmH,SPOUT_MTase
OOFNCCCI_01627,-0.438610354,2174405,2175475,1070,0.129464294,E,aroC,Chorismate_synt
OOFNCCCI_01628,-0.633582586,2175587,2176168,581,0.030674545,O,slyD,FKBP_C
OOFNCCCI_01629,0.055665926,2176374,2178242,1868,0.907292671,M,NA,Sulfatase
OOFNCCCI_01630,-0.15332932,2178303,2179478,1175,0.659503528,E,patB,Aminotran_1_2
OOFNCCCI_01631,0.569340737,2179586,2181313,1727,0.004608701,H,NA,"AAA-ATPase_like,PDDEXK_9"
OOFNCCCI_01632,-0.048068759,2181443,2182000,557,0.90126963,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_01633,-0.117896152,2182453,2182749,296,0.839639016,NA,NA,NA
OOFNCCCI_01634,-1.710827814,2182755,2183084,329,0.230647559,NA,NA,NA
OOFNCCCI_01635,-0.505646256,2183250,2184272,1022,0.052030252,L,NA,"DUF2958,Helicase_C,N6_Mtase,ResIII,SNF2_N"
OOFNCCCI_01636,-0.061310002,2184354,2185340,986,0.894559209,L,NA,"Helicase_C,N6_Mtase,ResIII,SNF2_N"
OOFNCCCI_01637,-1.192213446,2185491,2186702,1211,0.000179865,L,NA,Phage_integrase
OOFNCCCI_01638,0.48461042,2186699,2187655,956,0.363538087,L,NA,Phage_integrase
OOFNCCCI_01639,1.127991174,2187639,2188685,1046,5.74E-06,L,NA,"Phage_int_SAM_1,Phage_int_SAM_4,Phage_integrase"
OOFNCCCI_01640,0.615603566,2188984,2189790,806,0.004138087,E,NA,Trypsin_2
OOFNCCCI_01641,0.111819947,2190048,2193152,3104,0.688230165,L,NA,"Helicase_C,N6_Mtase,ResIII,SNF2_N"
OOFNCCCI_01642,-1.141637571,2193370,2193816,446,0.290485981,S,NA,DUF1896
OOFNCCCI_01643,0.030535254,2193919,2195208,1289,0.938354584,S,NA,"DUF3945,DUF4099"
OOFNCCCI_01644,1.301173788,2195641,2196654,1013,1.18E-09,S,NA,Patatin
OOFNCCCI_01645,0.800774702,2196644,2197612,968,0.076873988,NA,NA,NA
OOFNCCCI_01646,0.85334253,2197605,2199350,1745,7.80E-08,H,NA,ThiF
OOFNCCCI_01647,0.915147109,2199347,2199802,455,0.350820342,S,NA,Prok-JAB
OOFNCCCI_01648,-0.110705511,2199832,2200311,479,0.938203444,L,NA,DDE_Tnp_1_3
OOFNCCCI_01649,1.230972899,2200302,2200601,299,0.146426322,L,NA,DDE_Tnp_1_3
OOFNCCCI_01650,1.309589438,2200724,2201848,1124,1.07E-09,NA,NA,NA
OOFNCCCI_01651,1.452593742,2201920,2205978,4058,1.59E-09,T,NA,"NACHT,TIR_2"
OOFNCCCI_01652,0.256661387,2206232,2207875,1643,0.205047652,U,NA,"T4SS-DNA_transf,TraG-D_C,TrwB_AAD_bind,YWFCY"
OOFNCCCI_01653,0.544813971,2208119,2208244,125,0.89571419,U,NA,"TraG-D_C,TrwB_AAD_bind,YWFCY"
OOFNCCCI_01654,-0.141531334,2208299,2209516,1217,0.684071671,U,NA,Relaxase
OOFNCCCI_01655,-0.415550776,2209532,2209624,92,0.940083812,NA,NA,NA
OOFNCCCI_01656,-2.011977441,2209887,2210063,176,0.243215979,NA,NA,NA
OOFNCCCI_01657,-4.534612879,2210152,2210364,212,NA,NA,NA,NA
OOFNCCCI_01658,-0.458658505,2210361,2210528,167,0.543491066,NA,NA,NA
OOFNCCCI_01659,-0.239914417,2210860,2210952,92,0.612775078,NA,NA,NA
OOFNCCCI_01660,-0.888281632,2211220,2211630,410,0.183102007,D,NA,NA
OOFNCCCI_01661,0.545772246,2211633,2212127,494,0.810149733,S,NA,DUF3408
OOFNCCCI_01662,0.597550765,2212131,2213063,932,0.006397163,NA,NA,NA
OOFNCCCI_01663,-0.105831713,2213386,2213487,101,0.839639016,C,NA,"B12-binding,Radical_SAM"
OOFNCCCI_01664,-0.137511108,2213838,2214290,452,0.703857645,C,NA,NA
OOFNCCCI_01665,-0.415551649,2214556,2214855,299,0.52184438,S,NA,DUF4134
OOFNCCCI_01666,-6.319286021,2214879,2215025,146,0.258160732,S,NA,DUF4133
OOFNCCCI_01667,2.735871493,2215203,2215373,170,0.464368466,U,traC,"AAA_10,DUF3875,TraC_F_IV"
OOFNCCCI_01668,-0.104141519,2215389,2217227,1838,0.717762431,U,NA,"AAA_10,DUF3875"
OOFNCCCI_01669,-1.088739929,2217249,2217599,350,0.00078929,U,NA,"AAA_10,DUF3875,DUF87"
OOFNCCCI_01670,1.237248517,2218168,2219991,1823,0.587558848,L,NA,"Intron_maturas2,RVT_1"
OOFNCCCI_01671,-1.366140488,2220237,2220368,131,0.679612495,NA,NA,NA
OOFNCCCI_01672,-6.189537828,2220369,2220644,275,0.269779501,NA,NA,NA
OOFNCCCI_01673,-0.066232764,2220682,2220807,125,0.939137548,S,NA,DUF4141
OOFNCCCI_01674,0.513498983,2221485,2223167,1682,0.942609862,L,NA,"GIIM,RVT_1,RVT_N"
OOFNCCCI_01675,-0.333428569,2223151,2223693,542,0.641668695,U,NA,DUF4141
OOFNCCCI_01676,-0.227196899,2223722,2224735,1013,0.618614918,S,NA,CtnDOT_TraJ
OOFNCCCI_01678,-0.743110219,2224940,2225389,449,0.016204008,U,NA,VirB8
OOFNCCCI_01679,0.086374575,2225653,2226510,857,0.811939887,S,traM,Transposon_TraM
OOFNCCCI_01680,0.540396237,2226583,2226927,344,0.854673845,S,traM,Transposon_TraM
OOFNCCCI_01681,-0.210086447,2226932,2227831,899,0.720822555,U,NA,DUF4138
OOFNCCCI_01682,-0.300771283,2227850,2228440,590,0.626999679,S,NA,TraO
OOFNCCCI_01683,0.651207504,2228467,2228928,461,0.258338645,S,NA,DUF3872
OOFNCCCI_01684,-0.472681371,2229081,2229992,911,0.093309744,O,NA,"Peptidase_M48,Peptidase_M48_N"
OOFNCCCI_01685,-0.254068793,2230014,2230475,461,0.581522852,NA,NA,NA
OOFNCCCI_01686,-0.227360605,2230837,2231076,239,0.783346735,NA,NA,NA
OOFNCCCI_01687,-1.160141204,2231200,2231424,224,0.465327708,NA,NA,NA
OOFNCCCI_01688,0.38048484,2231506,2233407,1901,0.108506137,K,NA,ParBc
OOFNCCCI_01689,-0.468784068,2233434,2234024,590,0.450501156,NA,NA,NA
OOFNCCCI_01690,-0.159538693,2234091,2235107,1016,0.570711856,S,NA,NA
OOFNCCCI_01691,-0.435917265,2235140,2235433,293,0.212295656,NA,NA,NA
OOFNCCCI_01692,-0.411271442,2235845,2235961,116,0.916258808,NA,NA,NA
OOFNCCCI_01693,-0.060095601,2235958,2237727,1769,0.867926161,K,NA,HTH_18
OOFNCCCI_01694,-0.477056043,2237892,2238203,311,0.685475026,NA,NA,NA
OOFNCCCI_01695,-0.523368235,2238227,2239354,1127,0.084240934,M,NA,"DUF3575,OmpA"
OOFNCCCI_01696,-0.170172055,2239377,2240288,911,0.794805577,NA,NA,Mfa2
OOFNCCCI_01697,-0.151376361,2240331,2242472,2141,0.626687012,N,NA,"Glug,Mfa_like_1"
OOFNCCCI_01698,0.146052739,2242505,2243416,911,0.790802819,NA,NA,NA
OOFNCCCI_01699,0.494362241,2243468,2244415,947,0.242574413,S,NA,Mfa_like_1
OOFNCCCI_01700,0.380526487,2244521,2246041,1520,0.033356459,F,add,A_deaminase
OOFNCCCI_01703,-0.047713333,2246505,2248907,2402,0.879920991,T,NA,"HATPase_c,HisKA,Response_reg"
OOFNCCCI_01704,-0.161057492,2248879,2250177,1298,0.681550574,T,NA,"HTH_8,Response_reg,Sigma54_activat"
OOFNCCCI_01705,-0.174295352,2250374,2251003,629,0.658638663,S,NA,RteC
OOFNCCCI_01706,-8.773427645,2251116,2251322,206,0.001512138,NA,NA,NA
OOFNCCCI_01707,-0.105465096,2251434,2252468,1034,0.791458727,NA,NA,NA
OOFNCCCI_01709,-0.170395882,2252651,2253367,716,0.795786726,NA,NA,NA
OOFNCCCI_01710,-0.381834599,2253379,2253708,329,0.908028046,NA,NA,NA
OOFNCCCI_01711,0.266131741,2253766,2254503,737,0.565837474,NA,NA,NA
OOFNCCCI_01712,0.793117635,2254679,2254798,119,0.833393633,NA,NA,NA
OOFNCCCI_01713,-1.353812597,2254968,2255270,302,0.508576874,S,NA,HTH_17
OOFNCCCI_01714,0.106215744,2255349,2256578,1229,0.685493845,L,NA,"Arm-DNA-bind_5,Phage_int_SAM_5,Phage_integrase"
OOFNCCCI_01715,0.087407224,2256990,2257985,995,0.817739115,PT,NA,"DUF4974,FecR"
OOFNCCCI_01716,0.077906533,2258132,2261446,3314,0.796846299,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_01717,-0.440963391,2261452,2262894,1442,0.086122155,GM,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_01718,0.219083908,2262909,2264429,1520,0.367045237,G,NA,Alpha_L_fucos
OOFNCCCI_01719,1.710945521,2265471,2266679,1208,3.63E-10,NA,NA,NA
OOFNCCCI_01720,0.98695152,2267201,2267797,596,0.000978341,S,sanA,DUF218
OOFNCCCI_01721,0.235751996,2267873,2269420,1547,0.206822024,S,NA,"AAA-ATPase_like,PDDEXK_9"
OOFNCCCI_01722,-0.392477609,2269741,2271573,1832,0.08460656,EG,ilvD,ILVD_EDD
OOFNCCCI_01723,-0.173200345,2271600,2273300,1700,0.619044665,H,ilvB,"TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N"
OOFNCCCI_01724,-0.236967589,2273313,2273867,554,0.830663903,E,ilvN,"ACT,ACT_5,ALS_ss_C"
OOFNCCCI_01725,0.557570933,2273904,2274635,731,0.307483801,I,NA,Acyl-ACP_TE
OOFNCCCI_01726,-0.080056836,2274686,2275723,1037,0.763299577,E,ilvC,"IlvC,IlvN"
OOFNCCCI_01727,-0.07352164,2276225,2279503,3278,0.813590037,H,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_01728,0.027156069,2279522,2281111,1589,0.95235134,G,NA,"HemY_N,RNase_H_2,TPR_16,TPR_19,TPR_2,TPR_7,TPR_8"
OOFNCCCI_01729,0.14916287,2282746,2283909,1163,0.621470962,S,NA,"Metallophos,Pur_ac_phosph_N"
OOFNCCCI_01730,-0.091518439,2284060,2286237,2177,0.736405697,G,NA,Glyco_hydro_106
OOFNCCCI_01731,0.073980953,2286254,2287678,1424,0.819268881,G,NA,"Arabinose_Isome,Fucose_iso_C"
OOFNCCCI_01732,0.71784595,2287760,2287858,98,0.918449312,NA,NA,NA
OOFNCCCI_01733,-0.030465592,2288030,2289526,1496,0.930033042,E,leuA,"HMGL-like,LeuA_dimer"
OOFNCCCI_01734,-0.016349605,2289545,2290942,1397,0.961852914,H,leuC,Aconitase
OOFNCCCI_01735,-0.406711082,2291091,2291681,590,0.378022649,E,leuD,Aconitase_C
OOFNCCCI_01736,-0.208279806,2291695,2293194,1499,0.489556715,E,leuA_1,"HMGL-like,LeuA_dimer"
OOFNCCCI_01737,-0.928055222,2293213,2293659,446,0.574326331,G,mgsA,MGS
OOFNCCCI_01738,-0.308191768,2293674,2294744,1070,0.450501156,C,leuB,Iso_dh
OOFNCCCI_01739,-6.056485946,2294790,2295068,278,0.248206322,S,NA,YoeB_toxin
OOFNCCCI_01740,1.460964162,2295065,2295367,302,0.358122176,NA,NA,NA
OOFNCCCI_01741,-0.064678029,2295519,2296340,821,0.90126963,S,NA,"TPR_16,TPR_2,TPR_6,TPR_7,TPR_8"
OOFNCCCI_01742,0.094675606,2296500,2297342,842,0.797924705,M,NA,"MS_channel,TM_helix"
OOFNCCCI_01743,-0.181241665,2297574,2299787,2213,0.52184438,KT,relA,"ACT_4,HD_4,RelA_SpoT,TGS"
OOFNCCCI_01744,-0.147245928,2299964,2301484,1520,0.633990142,H,NA,DUF4301
OOFNCCCI_01745,-0.20196789,2301564,2302877,1313,0.474989151,S,NA,GFO_IDH_MocA
OOFNCCCI_01746,0.284816065,2303070,2304164,1094,0.274656662,S,NA,"DUF5018,PCMD"
OOFNCCCI_01747,-0.128351582,2304177,2304962,785,0.823201675,S,NA,OMP_b-brl_2
OOFNCCCI_01748,0.041506133,2305087,2306436,1349,0.913220426,S,NA,"GFO_IDH_MocA,GFO_IDH_MocA_C"
OOFNCCCI_01749,-0.138905031,2306603,2310571,3968,0.633990142,T,NA,"HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y"
OOFNCCCI_01750,-0.18925409,2310846,2314043,3197,0.435976583,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_01751,-0.620200588,2314056,2315921,1865,0.019983619,S,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_01752,0.097077667,2315947,2317533,1586,0.776537719,P,NA,"DUF4976,Sulfatase"
OOFNCCCI_01753,-0.005001115,2318229,2319338,1109,0.990534983,NA,NA,NA
OOFNCCCI_01754,-1.228791467,2319351,2319818,467,0.52184438,NA,NA,NA
OOFNCCCI_01755,0.303435531,2319815,2320381,566,0.642169496,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_01756,0.951120563,2320581,2320808,227,0.022151221,S,NA,NA
OOFNCCCI_01757,0.24086868,2320887,2321303,416,0.701187382,NA,NA,NA
OOFNCCCI_01758,0.6710701,2321447,2321722,275,0.742736895,NA,NA,NA
OOFNCCCI_01759,-5.681069413,2321691,2322053,362,0.31792982,K,NA,GerE
OOFNCCCI_01760,7.812236164,2322066,2322317,251,0.067934527,NA,NA,NA
OOFNCCCI_01761,-6.020611908,2322324,2322629,305,0.254172323,NA,NA,NA
OOFNCCCI_01765,0.316576728,2323242,2324918,1676,0.260142015,L,NA,DNA_methylase
OOFNCCCI_01766,-4.293649612,2324946,2325206,260,0.485999565,NA,NA,NA
OOFNCCCI_01768,1.054575083,2325517,2325909,392,0.087731134,NA,NA,NA
OOFNCCCI_01769,-7.110381318,2325930,2326259,329,0.002472207,NA,NA,NA
OOFNCCCI_01770,1.410421629,2326277,2326669,392,0.612694595,NA,NA,NA
OOFNCCCI_01771,1.1560471,2326730,2327011,281,0.161980392,L,NA,Bac_DNA_binding
OOFNCCCI_01772,2.051528349,2327155,2327331,176,NA,NA,NA,NA
OOFNCCCI_01773,-0.116898217,2327333,2327518,185,0.929443982,NA,NA,NA
OOFNCCCI_01774,0.772650425,2327773,2328192,419,0.223175929,NA,NA,NA
OOFNCCCI_01775,0.270105338,2328170,2331790,3620,0.349313264,L,NA,"Toprim_2,Toprim_4,Toprim_N,zf-CHC2"
OOFNCCCI_01776,0.149306483,2331801,2332127,326,0.748951595,L,NA,"DUF3991,DnaB_C,Toprim_2,Toprim_3,Toprim_N,zf-CHC2"
OOFNCCCI_01777,0.855662768,2332691,2333161,470,0.000848429,NA,NA,NA
OOFNCCCI_01778,0.767644725,2333268,2333714,446,0.22064377,NA,NA,NA
OOFNCCCI_01779,0.086362857,2333769,2334653,884,0.881668447,OU,NA,Peptidase_S49
OOFNCCCI_01780,-6.691010248,2334660,2335067,407,0.011989876,NA,NA,NA
OOFNCCCI_01781,0.030311626,2335073,2336338,1265,0.960077396,NA,NA,NA
OOFNCCCI_01782,-0.595562004,2336361,2337065,704,0.217844639,NA,NA,NA
OOFNCCCI_01783,-0.959026912,2337065,2338003,938,0.079279949,NA,NA,NA
OOFNCCCI_01784,-7.578436257,2338003,2338503,500,0.000501815,NA,NA,NA
OOFNCCCI_01786,0.384350246,2338775,2339374,599,0.755973485,NA,NA,NA
OOFNCCCI_01787,0.199373681,2339367,2341055,1688,0.492938147,NA,NA,NA
OOFNCCCI_01788,0.04670266,2341384,2341914,530,0.935019868,S,NA,Phage_holin_4_1
OOFNCCCI_01789,1.304833824,2341880,2342293,413,0.683936109,NA,NA,NA
OOFNCCCI_01790,-0.053034915,2342337,2342849,512,0.970921913,NA,NA,NA
OOFNCCCI_01792,-0.146846241,2343102,2344520,1418,0.618614918,NA,NA,NA
OOFNCCCI_01793,-0.376470492,2344524,2345456,932,0.455122373,NA,NA,NA
OOFNCCCI_01794,0.386307956,2345453,2346256,803,0.237155813,NA,NA,NA
OOFNCCCI_01795,-0.963223153,2346416,2346592,176,0.549095314,NA,NA,NA
OOFNCCCI_01796,0.176404675,2346651,2347088,437,0.803722075,S,NA,DUF5053
OOFNCCCI_01797,0.081480367,2347263,2347637,374,0.930153291,NA,NA,NA
OOFNCCCI_01799,1.785192758,2347904,2348392,488,1.16E-05,S,NA,HIRAN
OOFNCCCI_01800,1.894959642,2348414,2349196,782,3.01E-24,NA,NA,NA
OOFNCCCI_01801,1.100965149,2349234,2349869,635,0.000520554,NA,NA,NA
OOFNCCCI_01802,1.188755799,2349967,2351175,1208,1.49E-11,NA,NA,NA
OOFNCCCI_01803,0.481836267,2351434,2351685,251,0.604126936,NA,NA,NA
OOFNCCCI_01806,-0.56129031,2352078,2352569,491,0.769470209,NA,NA,NA
OOFNCCCI_01807,0.363536952,2352571,2353158,587,0.715698831,NA,NA,NA
OOFNCCCI_01808,0.095918287,2353161,2357198,4037,0.73011293,D,NA,PhageMin_Tail
OOFNCCCI_01809,0.625664171,2357195,2359213,2018,0.000615815,NA,NA,NA
OOFNCCCI_01810,0.074615407,2359266,2364269,5003,0.803257339,S,NA,NA
OOFNCCCI_01811,-6.763543447,2364296,2364616,320,0.121909388,NA,NA,NA
OOFNCCCI_01813,0.017877407,2364915,2367737,2822,0.957487994,M,NA,"LEA_4,Lipoprot_C,PilZ,TbpB_B_D,TonB_2"
OOFNCCCI_01814,0.313032546,2367739,2368164,425,0.819872026,NA,NA,NA
OOFNCCCI_01815,0.089842748,2368167,2368544,377,0.982489031,NA,NA,NA
OOFNCCCI_01817,1.218320735,2368662,2369822,1160,6.48E-12,L,NA,"Arm-DNA-bind_5,Phage_int_SAM_5,Phage_integrase"
OOFNCCCI_01819,0.06023817,2370131,2370445,314,0.990025396,S,NA,DUF4286
OOFNCCCI_01820,-0.830986427,2370442,2371002,560,0.174818406,L,ruvC,RuvC
OOFNCCCI_01821,-0.241444055,2371076,2371558,482,0.799399055,P,ftnA,Ferritin
OOFNCCCI_01822,-0.154526048,2371623,2372957,1334,0.601449183,E,gdh,"ELFV_dehydrog,ELFV_dehydrog_N"
OOFNCCCI_01823,-0.323670691,2373218,2376175,2957,0.193713708,GKT,ppsA,"PPDK_N,Response_reg"
OOFNCCCI_01824,0.102752914,2376811,2377806,995,0.760361421,S,NA,Metallophos
OOFNCCCI_01825,-0.451032377,2377820,2378722,902,0.20988198,S,NA,"CHB_HEX_C_1,PA14,Phosphodiest"
OOFNCCCI_01826,-0.776705037,2378806,2379876,1070,0.045264196,S,NA,Metallophos
OOFNCCCI_01827,-0.041827252,2379901,2381946,2045,0.897115413,Q,NA,"BNR_assoc_N,Exo_endo_phos,Laminin_G_3"
OOFNCCCI_01828,0.627064608,2381958,2382956,998,0.016960157,S,NA,Exo_endo_phos
OOFNCCCI_01829,0.098897196,2383080,2384642,1562,0.811961648,H,NA,SusD-like_2
OOFNCCCI_01830,0.175161281,2384654,2387971,3317,0.522628164,P,NA,"CarbopepD_reg_2,Plug"
OOFNCCCI_01832,0.716856715,2388219,2389235,1016,0.049494585,PT,NA,"DUF4974,FecR"
OOFNCCCI_01833,1.22970973,2389415,2389999,584,3.68E-05,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_01834,0.060726594,2390052,2390786,734,0.935019868,JM,hddC,NTP_transferase
OOFNCCCI_01835,-0.266359953,2390783,2392363,1580,0.293551847,S,NA,"APH,ATP_bind_2"
OOFNCCCI_01836,0.29928844,2392672,2395182,2510,0.178551586,NA,NA,NA
OOFNCCCI_01837,-0.490578692,2395261,2396097,836,0.125912801,NA,NA,NA
OOFNCCCI_01838,-0.086132613,2396177,2397610,1433,0.748951595,J,cca,"HD,PolyA_pol,PolyA_pol_RNAbd"
OOFNCCCI_01839,1.887291222,2397709,2398044,335,1.12E-11,K,NA,"HTH_26,HTH_3"
OOFNCCCI_01840,0.502857018,2398540,2401746,3206,0.040148669,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_01841,-0.30184285,2401760,2403628,1868,0.158936354,F,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_01842,0.074416103,2403803,2404969,1166,0.821826881,S,NA,"GFO_IDH_MocA,GFO_IDH_MocA_C"
OOFNCCCI_01843,-0.426666371,2404999,2408097,3098,0.043014329,G,lacZ,"Bgal_small_N,DUF4981,Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N"
OOFNCCCI_01844,-0.731443505,2408256,2409839,1583,0.012637648,C,NA,"Cytochrom_NNT,FGE-sulfatase"
OOFNCCCI_01845,-0.535342683,2409887,2411275,1388,0.0691769,S,NA,"GFO_IDH_MocA,TAT_signal"
OOFNCCCI_01846,-0.852982395,2411280,2412221,941,0.036412932,G,NA,"AP_endonuc_2,TAT_signal"
OOFNCCCI_01847,-0.421738927,2412252,2412935,683,0.521456007,K,NA,GerE
OOFNCCCI_01848,-0.17948562,2412945,2413529,584,0.700406695,K,NA,"GerE,PAS_3"
OOFNCCCI_01849,0.517422728,2414436,2416307,1871,0.007809801,NA,NA,NA
OOFNCCCI_01850,-0.164903341,2416526,2418841,2315,0.545150347,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_01851,-0.67178854,2418968,2421040,2072,0.009725044,P,NA,"Plug,TonB_dep_Rec"
OOFNCCCI_01852,-0.503854757,2421147,2422421,1274,0.051245997,EGP,NA,MFS_1
